vo_modele_id,segment_name,segment_class
664,MOYEN PETIT,PETIT
667,MOYEN PETIT,PETIT
668,MOYEN PETIT,PETIT
669,MOYEN,GRAND
670,MOYEN,GRAND
671,GRAND,GRAND
672,MINI,PETIT
674,MOYEN PETIT,PETIT
675,MOYEN PETIT,PETIT
676,MOYEN PETIT,PETIT
677,MOYEN PETIT,PETIT
678,MOYEN PETIT,PETIT
682,PETIT,PETIT
685,PETIT,PETIT
688,SPORT,SPORT
689,SPORT,SPORT
692,SPORT,SPORT
697,MOYEN GRAND,GRAND
699,MOYEN GRAND,GRAND
701,MOYEN GRAND,GRAND
702,GRAND,GRAND
703,SPORTIVE,SPORT
704,MINI,PETIT
706,SPORT,SPORT
707,SPORT,SPORT
708,SPORT,SPORT
709,SPORT,SPORT
712,MINI SUV,PETIT
714,MINI SUV,PETIT
717,SPORT,SPORT
721,SPORT,SPORT
722,SPORT,SPORT
723,LUXE,SPORT
725,SPORT,SPORT
726,SPORTIVE,SPORT
729,MINI MONOSPACE,PETIT
731,MINI MONOSPACE,PETIT
732,GRAND MONOSPCE,GRAND
733,GRAND SUV,GRAND
735,SPORTIVE,SPORT
736,GRAND SUV,GRAND
737,MOYEN,GRAND
738,MOYEN GRAND,GRAND
739,PETIT,PETIT
756,GRAND SUV,GRAND
757,GRAND MONOSPCE,GRAND
761,SPORTIVE,SPORT
762,SPORTIVE,SPORT
763,MOYEN PETIT,PETIT
764,MOYEN,GRAND
765,SPORTIVE,SPORT
766,MOYEN,GRAND
767,GRAND MONOSPCE,GRAND
769,MINI SUV,PETIT
770,MINI SUV,PETIT
771,MINI SUV,PETIT
772,MINI MONOSPACE,PETIT
773,GRAND MONOSPCE,GRAND
775,SPORT,SPORT
776,SPORT,SPORT
779,SPORTIVE,SPORT
781,SPORTIVE,SPORT
786,GRAND MONOSPCE,GRAND
788,GRAND SUV,GRAND
789,MINI MONOSPACE,PETIT
793,MINI MONOSPACE,PETIT
797,MINI SUV,PETIT
801,MINI MONOSPACE,PETIT
802,SPORTIVE,SPORT
810,SPORTIVE,SPORT
811,PETIT,PETIT
816,SPORTIVE,SPORT
817,GRAND MONOSPCE,GRAND
819,SPORT,SPORT
821,SPORT,SPORT
822,SPORT,SPORT
823,SPORT,SPORT
832,LUXE,SPORT
833,LUXE,SPORT
834,LUXE,SPORT
835,LUXE,SPORT
853,MOYEN GRAND,GRAND
855,PETIT,PETIT
858,GRAND SUV,GRAND
866,MINI MONOSPACE,PETIT
873,PETIT,PETIT
874,MINI MONOSPACE,PETIT
875,MINI,PETIT
876,MINI SUV,PETIT
878,MINI SUV,PETIT
879,MINI SUV,PETIT
880,GRAND MONOSPCE,GRAND
881,PETIT,PETIT
882,MINI SUV,PETIT
883,SPORTIVE,SPORT
884,GRAND SUV,GRAND
886,MINI SUV,PETIT
887,MOYEN PETIT,PETIT
888,MOYEN PETIT,PETIT
895,GRAND SUV,GRAND
896,MINI MONOSPACE,PETIT
897,MOYEN GRAND,GRAND
901,GRAND SUV,GRAND
902,MINI MONOSPACE,PETIT
904,SPORTIVE,SPORT
906,PETIT,PETIT
907,SPORTIVE,SPORT
909,MINI MONOSPACE,PETIT
910,SPORTIVE,SPORT
911,SPORTIVE,SPORT
912,SPORTIVE,SPORT
913,SPORTIVE,SPORT
919,SPORTIVE,SPORT
920,MINI SUV,PETIT
929,GRAND MONOSPCE,GRAND
930,SPORTIVE,SPORT
933,SPORTIVE,SPORT
941,MOYEN PETIT,PETIT
942,MOYEN GRAND,GRAND
944,GRAND SUV,GRAND
945,MINI SUV,PETIT
946,MINI,PETIT
948,MOYEN PETIT,PETIT
951,MINI MONOSPACE,PETIT
952,MOYEN GRAND,GRAND
953,MOYEN,GRAND
954,MINI SUV,PETIT
955,GRAND SUV,GRAND
